X1,surveyID,P_type,verif_ans,P_sentence,clear_responses,ispo
657,ac6pz6rt20201102,DOI,n,The photographer showed the editor them finished proofs.,The salesman showed the car to them.,1
658,ac6pz6rt20201102,POC,y,The travel agent gave the last ticket to the young fan.,He gave his heart to her.,1
659,ac6pz6rt20201102,DOI,n,The spy handed the double agent them submarine blueprints.,She handed him a stethoscope.,0
660,ac6pz6rt20201102,POC,y,The good looking bartender handed free drinks to the girls at the bar.,She handed letters to the boy.,1
661,ackgo30v20200227,DOC,y,The woman gave the new neighbor the rusty bike.,the man gives the girl a gift,0
662,ackgo30v20200227,POC,y,The good looking bartender handed free drinks to the girls at the bar.,the boy hands the girl chalk,0
663,ackgo30v20200227,DOC,y,The fashion designer gave the famous journalist the pink jacket.,the nurse gives the man food,0
664,ackgo30v20200227,POC,y,The travel agent gave the last ticket to the young fan.,the boy gives the girl a gift,0
665,ackgo30v20200227,DOC,y,The bartender handed the customer the cocktail.,the cowboy hands the clown a hat,0
666,ackgo30v20200227,POI,n,The eager boyfriend handed the box of flowers to them girlfriend.,the girl hands the boy a hat,0
667,ackgo30v20200227,DOI,n,The disgruntled employee gave the manager them long letter.,the officer gives the man a ticket,0
668,ackgo30v20200227,POI,n,The millionaire gave the valuable painting to they struggling artist.,the girl gives the teacher flowers,0
669,ackgo30v20200227,DOI,n,The captain gave the old sailor they spare life jacket.,the couple gives the grandma a cake,0
670,ackgo30v20200227,POI,n,The builder showed the blueprints to they new client.,the kids show their teacher the art,0
671,ackgo30v20200227,DOC,y,The happy child showed her father the coloring book.,the man shows the other man a gun,0
672,ackgo30v20200227,POI,n,The swimmer handed the towel to they driver.,the girl hands the boy a paint brush,0
673,ackgo30v20200227,DOI,n,The secretary handed the manager they invoice.,the librarian hands the kid the book,0
674,ackgo30v20200227,POI,n,The researcher gave the detailed results to them experienced surgeon.,the sailor gives the soldier a teapot,0
675,ackgo30v20200227,DOI,n,The photographer showed the editor them finished proofs.,the man shows the couple the car,0
676,ackgo30v20200227,POC,y,The mean neighbor handed a nasty note to the woman next door.,the woman hands the man a menu,0
677,ackgo30v20200227,DOI,n,The spy handed the double agent them submarine blueprints.,the nurse hands the doctor his stethoscope,0
678,ackgo30v20200227,POC,y,The mother gave the expensive toy to the hungry toddler.,the woman gives the man a cane,0
679,ackgo30v20200227,DOC,y,The teacher handed the student the certificate.,the woman hands the guitar to the man,1
680,ackgo30v20200227,POC,y,The architect showed the model of the building to the architect.,the woman shows the man her dress,0
681,aherzvzb20201106,DOC,y,The happy child showed her father the coloring book.,the man showed something to the other man,0
682,aherzvzb20201106,POC,y,The mean neighbor handed a nasty note to the woman next door.,she handed a menu to the customer,1
683,aherzvzb20201106,DOI,n,The photographer showed the editor them finished proofs.,they showed the car to a different person,1
684,aherzvzb20201106,POC,y,The mother gave the expensive toy to the hungry toddler.,she gave the cane to the man,1
685,aherzvzb20201106,DOI,n,The captain gave the old sailor they spare life jacket.,she gave the cake to the old lady,1
686,aherzvzb20201106,POI,n,The builder showed the blueprints to they new client.,she showed a picture to the lady,1
687,aherzvzb20201106,DOI,n,The spy handed the double agent them submarine blueprints.,she handed the man a thing,0
688,aherzvzb20201106,POC,y,The good looking bartender handed free drinks to the girls at the bar.,she handed the painter a brush,0
689,aherzvzb20201106,DOC,y,The bartender handed the customer the cocktail.,he handed a hat to the clown,1
690,aherzvzb20201106,POI,n,The swimmer handed the towel to they driver.,she handed the painter a brush,0
691,aherzvzb20201106,DOI,n,The secretary handed the manager they invoice.,she handed the person an item,0
692,aherzvzb20201106,POI,n,The eager boyfriend handed the box of flowers to them girlfriend.,she handed a toy to the man,1
693,aherzvzb20201106,DOC,y,The woman gave the new neighbor the rusty bike.,she likes to give presents,1
694,aherzvzb20201106,POI,n,The researcher gave the detailed results to them experienced surgeon.,he gave the man a pot,0
695,aherzvzb20201106,DOC,y,The fashion designer gave the famous journalist the pink jacket.,she gave the man attendance,0
696,aherzvzb20201106,POI,n,The millionaire gave the valuable painting to they struggling artist.,she gave flowers to the old lady,1
697,aherzvzb20201106,DOC,y,The teacher handed the student the certificate.,he handed the guitar to the man,1
698,aherzvzb20201106,POC,y,The architect showed the model of the building to the architect.,he showed the item to the man,1
699,aherzvzb20201106,DOI,n,The disgruntled employee gave the manager them long letter.,cops can give tickets,1
700,aherzvzb20201106,POC,y,The travel agent gave the last ticket to the young fan.,he gave a heart to the woman,1
701,ak018tef20201118,DOC,y,The teacher handed the student the certificate.,He hands him the guitar,0
702,ak018tef20201118,POI,n,The researcher gave the detailed results to them experienced surgeon.,The sailor gives him a teapot,0
703,ak018tef20201118,DOI,n,The photographer showed the editor them finished proofs.,He shows them the car,0
704,ak018tef20201118,POC,y,The mother gave the expensive toy to the hungry toddler.,The waitress gives him a cane,0
705,ak018tef20201118,DOC,y,The woman gave the new neighbor the rusty bike.,He gives her a present,0
706,ak018tef20201118,POC,y,The travel agent gave the last ticket to the young fan.,He gives her his heart,0
707,ak018tef20201118,DOC,y,The fashion designer gave the famous journalist the pink jacket.,The nurse gives him food,0
708,ak018tef20201118,POC,y,The good looking bartender handed free drinks to the girls at the bar.,He hands her the letter K,0
709,ak018tef20201118,DOI,n,The disgruntled employee gave the manager them long letter.,The cop gives him a ticket,0
710,ak018tef20201118,POI,n,The builder showed the blueprints to they new client.,They show the teacher a drawing,0
711,ak018tef20201118,DOI,n,The captain gave the old sailor they spare life jacket.,They give him a cake,0
712,ak018tef20201118,POC,y,The architect showed the model of the building to the architect.,She is showing the dress,1
713,ak018tef20201118,DOC,y,The happy child showed her father the coloring book.,He shows the gun,1
714,ak018tef20201118,POC,y,The mean neighbor handed a nasty note to the woman next door.,She hands him the menu,0
715,ak018tef20201118,DOI,n,The spy handed the double agent them submarine blueprints.,She hands him the stethoscope,0
716,ak018tef20201118,POI,n,The millionaire gave the valuable painting to they struggling artist.,She gives her teacher a flower,0
717,ak018tef20201118,DOI,n,The secretary handed the manager they invoice.,She hands him a book,0
718,ak018tef20201118,POI,n,The eager boyfriend handed the box of flowers to them girlfriend.,She hands him a plate,0
719,ak018tef20201118,DOC,y,The bartender handed the customer the cocktail.,He hands the clown a hat,0
720,ak018tef20201118,POI,n,The swimmer handed the towel to they driver.,She hands him a paintbrush,0
721,am6ox9ao20201114,DOC,y,The teacher handed the student the certificate.,The boy hands the musician his guitar.,0
722,am6ox9ao20201114,POI,n,The eager boyfriend handed the box of flowers to them girlfriend.,The woman hands the plate to her boyfriend.,1
723,am6ox9ao20201114,DOI,n,The spy handed the double agent them submarine blueprints.,The nurse hands the stelescope to the doctor.,1
724,am6ox9ao20201114,POC,y,The mean neighbor handed a nasty note to the woman next door.,The waitress hands the menu to the customer.,1
725,am6ox9ao20201114,DOI,n,The photographer showed the editor them finished proofs.,The salesman is showing the new car to his clients.,1
726,am6ox9ao20201114,POI,n,The builder showed the blueprints to they new client.,The children are showing their painting to the teacher.,1
727,am6ox9ao20201114,DOI,n,The secretary handed the manager they invoice.,The librarian hands the book to the kid.,1
728,am6ox9ao20201114,POC,y,The mother gave the expensive toy to the hungry toddler.,The cleaner gives the cook his cane.,0
729,am6ox9ao20201114,DOC,y,The bartender handed the customer the cocktail.,The man hands the clown his hat.,0
730,am6ox9ao20201114,POC,y,The good looking bartender handed free drinks to the girls at the bar.,The girl hands the boy the next letter.,0
731,am6ox9ao20201114,DOI,n,The captain gave the old sailor they spare life jacket.,The woman gives the lady her birthday cake.,0
732,am6ox9ao20201114,POI,n,The researcher gave the detailed results to them experienced surgeon.,The sailor gives the soldier his tea pot.,0
733,am6ox9ao20201114,DOC,y,The woman gave the new neighbor the rusty bike.,The man gives the girl a present.,0
734,am6ox9ao20201114,POC,y,The travel agent gave the last ticket to the young fan.,The boy gives a heart to the girl,1
735,am6ox9ao20201114,DOC,y,The happy child showed her father the coloring book.,The lawyer is showing the judge some evidence.,0
736,am6ox9ao20201114,POC,y,The architect showed the model of the building to the architect.,The man is showing the dress to the older man.,1
737,am6ox9ao20201114,DOI,n,The disgruntled employee gave the manager them long letter.,The police gave the offender a speeding ticket.,0
738,am6ox9ao20201114,POI,n,The millionaire gave the valuable painting to they struggling artist.,The student gave her teacher flowers.,0
739,am6ox9ao20201114,DOC,y,The fashion designer gave the famous journalist the pink jacket.,The nurse gave the patient some food.,0
740,am6ox9ao20201114,POI,n,The swimmer handed the towel to they driver.,The girl handed the painter a brush.,0
741,awveeytc20201103,DOI,n,The captain gave the old sailor they spare life jacket.,They gave her a cake.,0
742,awveeytc20201103,POC,y,The good looking bartender handed free drinks to the girls at the bar.,She hands her the chalk.,0
743,awveeytc20201103,DOI,n,The spy handed the double agent them submarine blueprints.,The nurse hands the doctor the stethoscope.,0
744,awveeytc20201103,POI,n,The builder showed the blueprints to they new client.,The kids show their teacher a drawing.,0
745,awveeytc20201103,DOI,n,The disgruntled employee gave the manager them long letter.,The police gives the man a speeding ticket.,0
746,awveeytc20201103,POI,n,The researcher gave the detailed results to them experienced surgeon.,The sailor gave the soldier some tea.,0
747,awveeytc20201103,DOC,y,The bartender handed the customer the cocktail.,The man hands the clown a hat.,0
748,awveeytc20201103,POC,y,The architect showed the model of the building to the architect.,She shows him her new dress.,0
749,awveeytc20201103,DOI,n,The secretary handed the manager they invoice.,The librarian hands the child a book.,0
750,awveeytc20201103,POI,n,The millionaire gave the valuable painting to they struggling artist.,The student gives the teacher flowers.,0
751,awveeytc20201103,DOC,y,The fashion designer gave the famous journalist the pink jacket.,The nurse gives the patient medicine.,0
752,awveeytc20201103,POC,y,The mean neighbor handed a nasty note to the woman next door.,The waitress hands the man a menu.,0
753,awveeytc20201103,DOC,y,The teacher handed the student the certificate.,The boy hands the man a guitar.,0
754,awveeytc20201103,POI,n,The swimmer handed the towel to they driver.,She hands him the paint brush.,0
755,awveeytc20201103,DOC,y,The woman gave the new neighbor the rusty bike.,The man gives the girl a gift.,0
756,awveeytc20201103,POI,n,The eager boyfriend handed the box of flowers to them girlfriend.,The girl hands the frisbee to the boy.,1
757,awveeytc20201103,DOC,y,The happy child showed her father the coloring book.,The lawyer shows the judge the evidence.,0
758,awveeytc20201103,POC,y,The travel agent gave the last ticket to the young fan.,The boy gives the girl a valentine.,0
759,awveeytc20201103,DOI,n,The photographer showed the editor them finished proofs.,The salesmen showed them the car.,0
760,awveeytc20201103,POC,y,The mother gave the expensive toy to the hungry toddler.,The waitress gives the chef a cane.,0
761,b9zlolfy20200115,DOC,y,The happy child showed her father the coloring book.,They show the gun to the judge.,1
762,b9zlolfy20200115,POC,y,The mother gave the expensive toy to the hungry toddler.,The waitress gives the cane to the chef.,1
763,b9zlolfy20200115,DOC,y,The woman gave the new neighbor the rusty bike.,He gives the girl a present.,0
764,b9zlolfy20200115,POI,n,The swimmer handed the towel to they driver.,The girl hands the brush to the painter.,1
765,b9zlolfy20200115,DOI,n,The spy handed the double agent them submarine blueprints.,NA,NA
766,b9zlolfy20200115,POI,n,The millionaire gave the valuable painting to they struggling artist.,NA,NA
767,b9zlolfy20200115,DOC,y,The bartender handed the customer the cocktail.,He hands the clown a hat.,0
768,b9zlolfy20200115,POC,y,The travel agent gave the last ticket to the young fan.,He gives her a heart-shaped letter.,0
769,b9zlolfy20200115,DOI,n,The photographer showed the editor them finished proofs.,He shows them the car for sale.,0
770,b9zlolfy20200115,POI,n,The eager boyfriend handed the box of flowers to them girlfriend.,She hands him the toy.,0
771,b9zlolfy20200115,DOC,y,The fashion designer gave the famous journalist the pink jacket.,The nurse gives a patient their medicine.,0
772,b9zlolfy20200115,POC,y,The mean neighbor handed a nasty note to the woman next door.,She hands him the menu.,0
773,b9zlolfy20200115,DOI,n,The disgruntled employee gave the manager them long letter.,The officer gives the driver a ticket.,0
774,b9zlolfy20200115,POC,y,The architect showed the model of the building to the architect.,She shows him a dress.,0
775,b9zlolfy20200115,DOI,n,The captain gave the old sailor they spare life jacket.,They give her a cake.,0
776,b9zlolfy20200115,POI,n,The researcher gave the detailed results to them experienced surgeon.,The sailor gives the teapot to the soldier.,1
777,b9zlolfy20200115,DOI,n,The secretary handed the manager they invoice.,She hands him a book.,0
778,b9zlolfy20200115,POI,n,The builder showed the blueprints to they new client.,They show her their drawing.,0
779,b9zlolfy20200115,DOC,y,The teacher handed the student the certificate.,He hands the guitar to the singer.,1
780,b9zlolfy20200115,POC,y,The good looking bartender handed free drinks to the girls at the bar.,She hands him a letter.,0
781,bdhboees20201112,DOC,y,The fashion designer gave the famous journalist the pink jacket.,She is giving him something.,0
782,bdhboees20201112,POI,n,The eager boyfriend handed the box of flowers to them girlfriend.,She is handing him an item.,0
783,bdhboees20201112,DOI,n,The secretary handed the manager they invoice.,The librarian is handing him a book.,0
784,bdhboees20201112,POC,y,The mean neighbor handed a nasty note to the woman next door.,She hands him a menu.,0
785,bdhboees20201112,DOC,y,The happy child showed her father the coloring book.,He showed him a detail of the item.,0
786,bdhboees20201112,POC,y,The architect showed the model of the building to the architect.,She is showing him the dress.,0
787,bdhboees20201112,DOC,y,The woman gave the new neighbor the rusty bike.,He gave her a present.,0
788,bdhboees20201112,POC,y,The travel agent gave the last ticket to the young fan.,He is giving her a gift.,0
789,bdhboees20201112,DOI,n,The spy handed the double agent them submarine blueprints.,She handed him the object.,0
790,bdhboees20201112,POI,n,The researcher gave the detailed results to them experienced surgeon.,He gave him a teapot.,0
791,bdhboees20201112,DOI,n,The captain gave the old sailor they spare life jacket.,They are giving the person a cake.,0
792,bdhboees20201112,POI,n,The millionaire gave the valuable painting to they struggling artist.,She is giving him flowers.,0
793,bdhboees20201112,DOI,n,The disgruntled employee gave the manager them long letter.,They are giving the driver a ticket.,0
794,bdhboees20201112,POI,n,The swimmer handed the towel to they driver.,She handed them a paint brush.,0
795,bdhboees20201112,DOC,y,The bartender handed the customer the cocktail.,He handed the clown a hat.,0
796,bdhboees20201112,POC,y,The mother gave the expensive toy to the hungry toddler.,She is giving them a cane.,0
797,bdhboees20201112,DOC,y,The teacher handed the student the certificate.,They are handing over the guitar.,NA
798,bdhboees20201112,POI,n,The builder showed the blueprints to they new client.,They are showing the drawing.,1
799,bdhboees20201112,DOI,n,The photographer showed the editor them finished proofs.,They are being shown a car.,NA
800,bdhboees20201112,POC,y,The good looking bartender handed free drinks to the girls at the bar.,He is being handed a piece of chalk.,NA
801,bjmjt11l20200129,DOI,n,The secretary handed the manager they invoice.,The women is handing over a book,NA
802,bjmjt11l20200129,POC,y,The travel agent gave the last ticket to the young fan.,The boy is giving a heart,1
803,bjmjt11l20200129,DOC,y,The woman gave the new neighbor the rusty bike.,A man is giving a gift,1
804,bjmjt11l20200129,POC,y,The mother gave the expensive toy to the hungry toddler.,The maid is giving a cane,1
805,bjmjt11l20200129,DOC,y,The happy child showed her father the coloring book.,The man is showing the gun,1
806,bjmjt11l20200129,POC,y,The good looking bartender handed free drinks to the girls at the bar.,The girl is handing over chalk,NA
807,bjmjt11l20200129,DOC,y,The bartender handed the customer the cocktail.,A circus performer is handing over a hat,NA
808,bjmjt11l20200129,POI,n,The swimmer handed the towel to they driver.,The girl is handing over the paint brush,NA
809,bjmjt11l20200129,DOI,n,The disgruntled employee gave the manager them long letter.,The policeman is giving a ticket,1
810,bjmjt11l20200129,POI,n,The eager boyfriend handed the box of flowers to them girlfriend.,The woman is handing over a ring,NA
811,bjmjt11l20200129,DOC,y,The fashion designer gave the famous journalist the pink jacket.,The nurse is giving food,1
812,bjmjt11l20200129,POI,n,The researcher gave the detailed results to them experienced surgeon.,A sailor is giving a teapot,1
813,bjmjt11l20200129,DOI,n,The spy handed the double agent them submarine blueprints.,The nurse is handing over a tool,NA
814,bjmjt11l20200129,POI,n,The millionaire gave the valuable painting to they struggling artist.,The girl is giving flowers,1
815,bjmjt11l20200129,DOI,n,The captain gave the old sailor they spare life jacket.,The woman is giving a cake,1
816,bjmjt11l20200129,POC,y,The mean neighbor handed a nasty note to the woman next door.,The woman is handing over a newpaper,NA
817,bjmjt11l20200129,DOC,y,The teacher handed the student the certificate.,The person is handing over the guitar,NA
818,bjmjt11l20200129,POI,n,The builder showed the blueprints to they new client.,The children are showing off their picture,NA
819,bjmjt11l20200129,DOI,n,The photographer showed the editor them finished proofs.,The car salesman is showing off a car,NA
820,bjmjt11l20200129,POC,y,The architect showed the model of the building to the architect.,The woman is showing a dress,1
821,blhofw6920201105,DOC,y,The happy child showed her father the coloring book.,The person showed the judge the gun.,0
822,blhofw6920201105,POC,y,The architect showed the model of the building to the architect.,The girl showed the dress to the man.,1
823,blhofw6920201105,DOI,n,The secretary handed the manager they invoice.,The librarian handed the boy the book.,0
824,blhofw6920201105,POC,y,The good looking bartender handed free drinks to the girls at the bar.,The girl handed the letter K to the boy.,1
825,blhofw6920201105,DOC,y,The bartender handed the customer the cocktail.,The man handed the clown a hat.,0
826,blhofw6920201105,POC,y,The travel agent gave the last ticket to the young fan.,The boy gave the girl a heart.,0
827,blhofw6920201105,DOI,n,The captain gave the old sailor they spare life jacket.,They gave him a cake for his birthday.,0
828,blhofw6920201105,POI,n,The swimmer handed the towel to they driver.,The girl handed the paintbrush to the boy.,1
829,blhofw6920201105,DOI,n,The photographer showed the editor them finished proofs.,The salesman showed them the car.,0
830,blhofw6920201105,POI,n,The eager boyfriend handed the box of flowers to them girlfriend.,The girl handed it to him.,1
831,blhofw6920201105,DOI,n,The spy handed the double agent them submarine blueprints.,The nurse handed the doctor a stethoscope.,0
832,blhofw6920201105,POC,y,The mother gave the expensive toy to the hungry toddler.,The waitress gave the chef a cane.,0
833,blhofw6920201105,DOI,n,The disgruntled employee gave the manager them long letter.,The police officer is giving the driver a ticket.,0
834,blhofw6920201105,POI,n,The millionaire gave the valuable painting to they struggling artist.,The girl gave her teacher flowers.,0
835,blhofw6920201105,DOC,y,The woman gave the new neighbor the rusty bike.,The man gave the girl a present.,0
836,blhofw6920201105,POI,n,The builder showed the blueprints to they new client.,They showed their teacher their drawing.,0
837,blhofw6920201105,DOC,y,The fashion designer gave the famous journalist the pink jacket.,The nurse is giving the patient food.,0
838,blhofw6920201105,POI,n,The researcher gave the detailed results to them experienced surgeon.,The sailor gave the soldier a teapot.,0
839,blhofw6920201105,DOC,y,The teacher handed the student the certificate.,The person handed the singer their guitar.,0
840,blhofw6920201105,POC,y,The mean neighbor handed a nasty note to the woman next door.,The waitress handed the menu to the customer.,1
841,bnlv90xh20201104,DOC,y,The fashion designer gave the famous journalist the pink jacket.,The nurse gave the patient something,0
842,bnlv90xh20201104,POI,n,The eager boyfriend handed the box of flowers to them girlfriend.,The girl handed the boy something,0
843,bnlv90xh20201104,DOC,y,The woman gave the new neighbor the rusty bike.,The man gave the child a present,0
844,bnlv90xh20201104,POI,n,The swimmer handed the towel to they driver.,She handed the brush to him,1
845,bnlv90xh20201104,DOI,n,The photographer showed the editor them finished proofs.,He showed them the car,0
846,bnlv90xh20201104,POC,y,The mean neighbor handed a nasty note to the woman next door.,The waitress handed him the menu,0
847,bnlv90xh20201104,DOC,y,The bartender handed the customer the cocktail.,He handed him a hat,0
848,bnlv90xh20201104,POC,y,The mother gave the expensive toy to the hungry toddler.,She gave him the cane,0
849,bnlv90xh20201104,DOC,y,The teacher handed the student the certificate.,He handed him the guitar,0
850,bnlv90xh20201104,POI,n,The builder showed the blueprints to they new client.,They showed her the picture,0
851,bnlv90xh20201104,DOI,n,The spy handed the double agent them submarine blueprints.,She handed it to him,1
852,bnlv90xh20201104,POI,n,The researcher gave the detailed results to them experienced surgeon.,He gave him the teapot,0
853,bnlv90xh20201104,DOI,n,The secretary handed the manager they invoice.,He handed it to him,1
854,bnlv90xh20201104,POC,y,The good looking bartender handed free drinks to the girls at the bar.,She handed it to him,1
855,bnlv90xh20201104,DOI,n,The disgruntled employee gave the manager them long letter.,He gave him a ticket,0
856,bnlv90xh20201104,POI,n,The millionaire gave the valuable painting to they struggling artist.,She gave her flowers,0
857,bnlv90xh20201104,DOI,n,The captain gave the old sailor they spare life jacket.,They gave her a cake,0
858,bnlv90xh20201104,POC,y,The travel agent gave the last ticket to the young fan.,He gave her a valentine,0
859,bnlv90xh20201104,DOC,y,The happy child showed her father the coloring book.,He showed him it,0
860,bnlv90xh20201104,POC,y,The architect showed the model of the building to the architect.,He showed him it,0
861,bs5meo4o20200214,DOC,y,The woman gave the new neighbor the rusty bike.,The man is giving the child a gift.,0
862,bs5meo4o20200214,POC,y,The good looking bartender handed free drinks to the girls at the bar.,He hands her the letter.,0
863,bs5meo4o20200214,DOI,n,The captain gave the old sailor they spare life jacket.,The couple gave her a cake.,0
864,bs5meo4o20200214,POC,y,The mother gave the expensive toy to the hungry toddler.,The waitress gave him his cane.,0
865,bs5meo4o20200214,DOC,y,The happy child showed her father the coloring book.,He shows her the object.,0
866,bs5meo4o20200214,POI,n,The builder showed the blueprints to they new client.,They put on a show for the teacher.,0
867,bs5meo4o20200214,DOI,n,The spy handed the double agent them submarine blueprints.,She hands him the stethoscope.,0
868,bs5meo4o20200214,POC,y,The architect showed the model of the building to the architect.,He shows his dad his outfit.,0
869,bs5meo4o20200214,DOI,n,The disgruntled employee gave the manager them long letter.,The officers gives the distracted driver a ticket.,0
870,bs5meo4o20200214,POC,y,The mean neighbor handed a nasty note to the woman next door.,The waitress hands them a menu.,0
871,bs5meo4o20200214,DOC,y,The teacher handed the student the certificate.,The worker hands him his guitar.,0
872,bs5meo4o20200214,POI,n,The millionaire gave the valuable painting to they struggling artist.,She gives her teacher some flowers.,0
873,bs5meo4o20200214,DOC,y,The fashion designer gave the famous journalist the pink jacket.,The nurse gives the patient his medicine.,0
874,bs5meo4o20200214,POI,n,The eager boyfriend handed the box of flowers to them girlfriend.,She hands him the plate.,0
875,bs5meo4o20200214,DOI,n,The secretary handed the manager they invoice.,The librarian hands him the book.,0
876,bs5meo4o20200214,POI,n,The researcher gave the detailed results to them experienced surgeon.,The sailor gives the man the teapot.,0
877,bs5meo4o20200214,DOC,y,The bartender handed the customer the cocktail.,He hands the clown a hat.,0
878,bs5meo4o20200214,POC,y,The travel agent gave the last ticket to the young fan.,He gives her a heart.,0
879,bs5meo4o20200214,DOI,n,The photographer showed the editor them finished proofs.,The salesman showed the couple the new car.,0
880,bs5meo4o20200214,POI,n,The swimmer handed the towel to they driver.,She hands him the paintbrush.,0
881,bsd3r0g520200208,DOC,y,The teacher handed the student the certificate.,The boy hands the singer his guitar.,0
882,bsd3r0g520200208,POI,n,The eager boyfriend handed the box of flowers to them girlfriend.,The woman is handing the frisbee to the man.,1
883,bsd3r0g520200208,DOI,n,The spy handed the double agent them submarine blueprints.,The woman hands the doctor his stethoscope.,0
884,bsd3r0g520200208,POI,n,The millionaire gave the valuable painting to they struggling artist.,The little girl gave her flowers to the woman.,0
885,bsd3r0g520200208,DOI,n,The captain gave the old sailor they spare life jacket.,The people gave the man his birthday cake.,0
886,bsd3r0g520200208,POC,y,The travel agent gave the last ticket to the young fan.,The boy gave the Valentine to the girl.,0
887,bsd3r0g520200208,DOC,y,The happy child showed her father the coloring book.,The man shows the judge the gun.,0
888,bsd3r0g520200208,POI,n,The researcher gave the detailed results to them experienced surgeon.,The sailor gave the military man the teapot.,0
889,bsd3r0g520200208,DOI,n,The secretary handed the manager they invoice.,The librarian handed the boy the book.,0
890,bsd3r0g520200208,POI,n,The swimmer handed the towel to they driver.,The girl handed the paintbrush to the painter.,1
891,bsd3r0g520200208,DOC,y,The bartender handed the customer the cocktail.,The man handed the clown a hat.,0
892,bsd3r0g520200208,POC,y,The architect showed the model of the building to the architect.,The person showed the dress to the man.,1
893,bsd3r0g520200208,DOI,n,The disgruntled employee gave the manager them long letter.,The driver gave the policeman his ID.,0
894,bsd3r0g520200208,POC,y,The mother gave the expensive toy to the hungry toddler.,The waitress gave the cook the cane.,0
895,bsd3r0g520200208,DOI,n,The photographer showed the editor them finished proofs.,The man is showing cars to the couple.,1
896,bsd3r0g520200208,POC,y,The mean neighbor handed a nasty note to the woman next door.,The waitress handed the menu to the customer.,1
897,bsd3r0g520200208,DOC,y,The fashion designer gave the famous journalist the pink jacket.,The nurse gave the patient his food.,0
898,bsd3r0g520200208,POC,y,The good looking bartender handed free drinks to the girls at the bar.,The kid hands the letter to the other kid.,1
899,bsd3r0g520200208,DOC,y,The woman gave the new neighbor the rusty bike.,The man gave the little kid a gift.,0
900,bsd3r0g520200208,POI,n,The builder showed the blueprints to they new client.,The children showed their drawing to the teacher.,0
901,byybve5p20200301,DOI,n,The photographer showed the editor them finished proofs.,The salesman shows the car off.,NA
902,byybve5p20200301,POI,n,The builder showed the blueprints to they new client.,The kids show their teacher a picture.,0
903,byybve5p20200301,DOC,y,The woman gave the new neighbor the rusty bike.,The man gave the girl a gift.,0
904,byybve5p20200301,POC,y,The mother gave the expensive toy to the hungry toddler.,The waitress gives the cane away.,0
905,byybve5p20200301,DOC,y,The fashion designer gave the famous journalist the pink jacket.,The nurse gave her patient medicine.,0
906,byybve5p20200301,POC,y,The mean neighbor handed a nasty note to the woman next door.,The waitress hands menus to customers.,0
907,byybve5p20200301,DOI,n,The secretary handed the manager they invoice.,The librarian hands the book to the child.,1
908,byybve5p20200301,POI,n,The millionaire gave the valuable painting to they struggling artist.,The girl gives flowers to a teacher.,1
909,byybve5p20200301,DOI,n,The captain gave the old sailor they spare life jacket.,She gives her friend a cake.,0
910,byybve5p20200301,POI,n,The swimmer handed the towel to they driver.,The girl hands the paintbrush to her brother.,1
911,byybve5p20200301,DOC,y,The bartender handed the customer the cocktail.,The man hands the hat to the clown.,1
912,byybve5p20200301,POC,y,The good looking bartender handed free drinks to the girls at the bar.,The girl hands a letter to the boy.,1
913,byybve5p20200301,DOI,n,The disgruntled employee gave the manager them long letter.,The officer gave the man a ticket.,0
914,byybve5p20200301,POI,n,The eager boyfriend handed the box of flowers to them girlfriend.,The girl hands the plate to her friend.,1
915,byybve5p20200301,DOI,n,The spy handed the double agent them submarine blueprints.,The nurse hands the doctor his equipment.,0
916,byybve5p20200301,POC,y,The architect showed the model of the building to the architect.,She showed him the dress.,0
917,byybve5p20200301,DOC,y,The teacher handed the student the certificate.,He handed the singer his guitar.,0
918,byybve5p20200301,POC,y,The travel agent gave the last ticket to the young fan.,He gave her a valentine.,0
919,byybve5p20200301,DOC,y,The happy child showed her father the coloring book.,The salesman shows off the gun.,NA
920,byybve5p20200301,POI,n,The researcher gave the detailed results to them experienced surgeon.,The sailor gave the solider a teapot.,0
921,cm9hz4em20200226,DOI,n,The spy handed the double agent them submarine blueprints.,the doctor put his hand on his stomach,NA
922,cm9hz4em20200226,POC,y,The architect showed the model of the building to the architect.,the tailor made the dress for the show,0
923,cm9hz4em20200226,DOC,y,The woman gave the new neighbor the rusty bike.,the man wanted to give the present,1
924,cm9hz4em20200226,POI,n,The builder showed the blueprints to they new client.,the kids show the drawing,1
925,cm9hz4em20200226,DOC,y,The teacher handed the student the certificate.,the kid was asked to hand the guitar,1
926,cm9hz4em20200226,POI,n,The millionaire gave the valuable painting to they struggling artist.,the girl wanted to give the flowers,1
927,cm9hz4em20200226,DOI,n,The disgruntled employee gave the manager them long letter.,the cop liked to give tickets,1
928,cm9hz4em20200226,POC,y,The mean neighbor handed a nasty note to the woman next door.,lauren wanted the man to hand the menu,1
929,cm9hz4em20200226,DOI,n,The secretary handed the manager they invoice.,jillian liked to hand books to boys,1
930,cm9hz4em20200226,POC,y,The travel agent gave the last ticket to the young fan.,the man wanted to give it all,1
931,cm9hz4em20200226,DOC,y,The bartender handed the customer the cocktail.,may I take your hand in marriage? - maurice,NA
932,cm9hz4em20200226,POC,y,The good looking bartender handed free drinks to the girls at the bar.,mckinley gave andrei a hand,0
933,cm9hz4em20200226,DOC,y,The happy child showed her father the coloring book.,rylan prepared the sock for the show,NA
